ticket_id,created_date,customer,plan,issue_title,category,status,priority,description,assigned_to,days_open
T-1001,2026-05-28,Acme Corp,Enterprise,Cannot export data to Excel,feature_request,open,medium,"Customer reports the Excel export button on the reports page produces an empty file. Affects all users on their account.",Unassigned,13
T-1002,2026-05-29,TechStart Ltd,Pro,Login fails after password reset,login_issues,open,high,"User resets password successfully but gets 'Invalid credentials' error when logging in with the new password. Intermittent — affects ~30% of resets.",Unassigned,12
T-1003,2026-05-30,GlobalRetail,Enterprise,Dashboard loads slowly — 15+ seconds,performance,open,high,"Enterprise dashboard takes 15-20 seconds to load for accounts with >500 projects. Other accounts normal. Reproducible.",Unassigned,11
T-1004,2026-05-30,FreshBrand,Pro,Charged twice for June subscription,billing,open,urgent,"Customer sees two identical charges of £89 on their card statement dated 1 June. Only one active subscription on our end. Requires urgent investigation and refund.",Unassigned,11
T-1005,2026-05-31,NovaCo,Starter,How do I add team members?,feature_request,open,low,"Customer asking how to invite colleagues. This is a Pro/Enterprise feature, not available on Starter. Needs polite explanation and upsell opportunity.",Unassigned,10
T-1006,2026-06-01,PeakSales,Pro,API rate limit errors on bulk import,performance,open,high,"Customer hitting 429 errors when importing >200 records via API. Rate limit is 100 req/min but their use case requires burst of 500. Asking for enterprise tier exemption.",Unassigned,9
T-1007,2026-06-01,MegaInsure,Enterprise,SSO integration broken after our update,login_issues,open,urgent,"Enterprise SSO (Okta) stopped working after our 2 June deployment. Error: 'SAML assertion validation failed'. Affecting all 340 users at this account.",Unassigned,9
T-1008,2026-06-02,QuickBooks Pro,Pro,Wrong currency on invoices,billing,open,medium,"Account set to USD but invoices generating in GBP. Customer in US. Has been an issue since account creation 3 months ago — just noticed.",Unassigned,8
T-1009,2026-06-02,StartFirst,Starter,App crashes on mobile iOS 18.4,performance,open,medium,"iOS app crashes on launch for users on iOS 18.4. Android unaffected. Approximately 200 reports from different customers.",Unassigned,8
T-1010,2026-06-03,DataDriven Co,Enterprise,Need GDPR data export for audit,feature_request,open,high,"Customer's DPO requesting full data export for GDPR compliance audit. Need structured export of all personal data we hold for their users.",Unassigned,7
T-1011,2026-06-03,RetailNext,Pro,Forgot password email not arriving,login_issues,open,medium,"Password reset emails not being received. Customer checked spam. Issue reproducible — emails not appearing in our send logs either. Likely SMTP issue.",Unassigned,7
T-1012,2026-06-04,CloudBuild,Enterprise,Integration with Salesforce returning null,performance,open,high,"Salesforce connector returning null values for Opportunity.Amount field. Has been working for 6 months. Started 4 June. No changes on their side.",Unassigned,6
T-1013,2026-06-04,TinyShop,Starter,Refund request — didn't use the product,billing,open,medium,"Customer signed up 3 days ago, never logged in after first day. Requesting full refund. Outside 14-day refund window but marginal case.",Unassigned,6
T-1014,2026-06-05,PharmaPlus,Enterprise,Reports show data from wrong date range,feature_request,open,medium,"Date range filter on custom reports appears to be off by one day — selecting 'Last 30 days' includes day 31 and excludes today. Affects all custom reports.",Unassigned,5
T-1015,2026-06-05,AgileHR,Pro,Cannot delete archived projects,feature_request,open,low,"UI shows 'Delete' button for archived projects but clicking it gives a 403 error. Customer wants to clean up their account.",Unassigned,5
T-1016,2026-06-06,BlueSky Media,Pro,2FA setup page not loading,login_issues,open,medium,"Security settings page for 2FA setup returns a blank white page. Affects all users trying to set up authenticator apps. Console shows JS error.",Unassigned,4
T-1017,2026-06-06,FastGrowth,Enterprise,Bulk user import via CSV fails silently,feature_request,open,high,"Uploading user CSV file shows success message but no users are created. No error shown. Affects enterprise onboarding workflow — customer has 120 users to import.",Unassigned,4
T-1018,2026-06-07,PureTech,Pro,Subscription auto-renewed but we cancelled,billing,open,urgent,"Customer submitted cancellation on 28 May (within notice period) but was charged on 1 June for annual renewal (£1,068). Requesting immediate refund.",Unassigned,3
T-1019,2026-06-07,SimpleWork,Starter,Page loading forever on Firefox,performance,open,medium,"Main dashboard page loads indefinitely on Firefox 127. Chrome and Safari work fine. Reproducible by multiple users.",Unassigned,3
T-1020,2026-06-08,DataNest,Pro,Notifications not sending to Slack,feature_request,open,medium,"Slack integration connected successfully but task notifications not appearing in designated channel. Integration shows as active in settings.",Unassigned,2
T-1021,2026-06-08,CorpServ,Enterprise,Account locked — too many failed logins,login_issues,open,medium,"Admin account locked after automated monitoring script used wrong credentials repeatedly. Customer needs unlock + guidance on API key auth for scripts.",Unassigned,2
T-1022,2026-06-08,GreenField,Pro,Double charged for add-on seats,billing,open,urgent,"Customer added 3 seats on 5 June. Invoice shows 6 seats added — double charged. Amount: £174 excess. Screenshot provided.",Unassigned,2
T-1023,2026-06-09,RapidScale,Enterprise,Reports export as blank PDFs,performance,open,high,"PDF exports of reports come out blank — headers present but no data. Excel export works fine. Started after last week's update.",Unassigned,1
T-1024,2026-06-09,BrandNew Co,Starter,Can't sign up — card keeps declining,billing,open,medium,"Customer's Visa card being declined at checkout. Tried two different cards. Our Stripe logs show no attempt — may be a frontend issue.",Unassigned,1
T-1025,2026-06-09,TalentPro,Pro,Search returning wrong results,feature_request,open,low,"Global search not returning exact matches — searching for project name 'Alpha Beta' returns 'Alpha' results but not 'Alpha Beta'.",Unassigned,1
T-1026,2026-06-09,EnterpriseX,Enterprise,Need custom SLA — current response too slow,feature_request,open,medium,"Customer escalating to their VP. Current SLA (8h response) not meeting their needs. Asking for 1h SLA. Needs account management involvement.",Unassigned,1
T-1027,2026-06-10,QuickFix Ltd,Pro,App won't load on Chrome after update,performance,open,high,"After Chrome 126 update, our web app fails to load. Console error: 'Blocked by Content Security Policy'. Other browsers fine. Likely CSP header issue.",Unassigned,0
T-1028,2026-06-10,OneStop,Enterprise,Invoice shows wrong company name,billing,open,low,"Invoice PDF shows old company name (acquired company name from 2024). Customer needs corrected invoice for accounting.",Unassigned,0
T-1029,2026-06-10,SmallBiz,Starter,Question about upgrading to Pro,feature_request,open,low,"Customer asking what features they get on Pro vs Starter and whether they can trial Pro before committing.",Unassigned,0
T-1030,2026-06-10,DigitalFirst,Pro,Login works but app shows wrong account,login_issues,open,high,"User logs in successfully but sees another user's data. Reports it happened twice. Serious data isolation issue — needs immediate investigation.",Unassigned,0
T-1031,2026-06-10,PayNow,Enterprise,Payment gateway integration errors,billing,open,urgent,"Enterprise payment gateway integration returning 500 errors on checkout. Affecting live transactions. Customer revenue at risk.",Unassigned,0
T-1032,2026-06-10,SwiftOps,Pro,Calendar sync duplicating events,feature_request,open,low,"Google Calendar integration creating duplicate calendar entries. Each event appears 2-3 times. Started after user reconnected the integration.",Unassigned,0
T-1033,2026-06-10,MicroStar,Pro,Data not loading after region migration,performance,open,high,"Customer's account migrated to EU region last week. Data appears missing but is likely in old region. Migration process may not have completed.",Unassigned,0
T-1034,2026-06-10,LegalEdge,Enterprise,Need audit log export for compliance,feature_request,open,high,"Legal team requires full audit log export (all user actions, data access events) for a regulatory audit. Format: CSV with timestamp, user, action, resource.",Unassigned,0
T-1035,2026-06-10,QuickBuild,Starter,Cannot verify email — link expired,login_issues,open,medium,"New signup can't verify email — verification link expired before they could click it. Default 24h expiry may be too short.",Unassigned,0
T-1036,2026-06-10,FinanceFlow,Pro,Refund not processed after 10 days,billing,open,high,"Refund approved by support on 31 May still not showing on customer's statement. 10 business days have passed. Stripe shows refund issued — bank delay?",Unassigned,0
T-1037,2026-06-10,NexGen,Enterprise,API documentation missing OAuth2 examples,feature_request,open,low,"Developer team struggling with OAuth2 implementation. Docs show API key auth only. Need OAuth2 code examples for Python and JavaScript.",Unassigned,0
T-1038,2026-06-10,ClearPath,Pro,Export limit of 1000 rows too restrictive,feature_request,open,medium,"Customer has 45,000 records but export caps at 1,000 rows. Requesting either higher limit or paginated export functionality.",Unassigned,0
T-1039,2026-06-10,SmartDesk,Enterprise,Mobile app not syncing with desktop,performance,open,medium,"Data entered on mobile app not appearing on desktop within expected 5-minute sync window. Sometimes delayed 2-3 hours.",Unassigned,0
T-1040,2026-06-10,WorkFlow,Pro,Cannot change account owner,login_issues,open,low,"Admin trying to transfer account ownership to new person but 'Transfer Ownership' option is greyed out. Original owner has left the company.",Unassigned,0
